country,landcode,year,percent_overweight_adult_danes
Denmark,DNK,1975,37.4
Denmark,DNK,1976,38
Denmark,DNK,1977,38.7
Denmark,DNK,1978,39.3
Denmark,DNK,1979,39.9
Denmark,DNK,1980,40.5
Denmark,DNK,1981,41.1
Denmark,DNK,1982,41.7
Denmark,DNK,1983,42.3
Denmark,DNK,1984,42.9
Denmark,DNK,1985,43.4
Denmark,DNK,1986,44
Denmark,DNK,1987,44.6
Denmark,DNK,1988,45.1
Denmark,DNK,1989,45.7
Denmark,DNK,1990,46.3
Denmark,DNK,1991,46.8
Denmark,DNK,1992,47.4
Denmark,DNK,1993,48
Denmark,DNK,1994,48.6
Denmark,DNK,1995,49.2
Denmark,DNK,1996,49.8
Denmark,DNK,1997,50.4
Denmark,DNK,1998,51
Denmark,DNK,1999,51.6
Denmark,DNK,2000,52.2
Denmark,DNK,2001,52.8
Denmark,DNK,2002,53.3
Denmark,DNK,2003,53.9
Denmark,DNK,2004,54.4
Denmark,DNK,2005,55
Denmark,DNK,2006,55.4
Denmark,DNK,2007,55.9
Denmark,DNK,2008,56.3
Denmark,DNK,2009,56.6
Denmark,DNK,2010,57
Denmark,DNK,2011,57.4
Denmark,DNK,2012,57.7
Denmark,DNK,2013,58.1
Denmark,DNK,2014,58.4
Denmark,DNK,2015,58.8
Denmark,DNK,2016,59.2
